流水號,國字,審定音,詞語例或說明,備注
96,先,ㄒ丨ㄢ,先民、先鋒、先知,ㄒ丨ㄢˋ併讀為ㄒ丨ㄢ。
97,兌,1.ㄉㄨㄟˋ\n2.ㄩㄝˋ（限讀）,1.兌卦（《易經》卦名）、兌\n現、匯兌\n2.兌命（《尚書》篇名）,
98,免,ㄇ丨ㄢˇ,避免、免費、赦免,
99,兒,1.ㄋ丨ˊ\n2.ㄦˊ,1.姓（如漢代有兒寬）。\n2.兒童、兒子,
100,入,ㄖㄨˋ,進入、收入、入手,ㄖㄨˇ併讀為ㄖㄨˋ。
101,內,ㄋㄟˋ,內幕、內臟、室內,
102,兩,ㄌ丨ㄤˇ,兩把刷子、兩全其美、斤兩、\n銀兩,
103,六,1.ㄌ丨ㄡˋ\n2.ㄌㄨˋ,1.六法全書、六合、六月、五\n臟六腑\n2.古國名；姓（見《萬姓統譜\n》）。,
104,共,1.ㄍㄨㄥ,1.共工；姓（如黃帝時有共鼓\n）。,
,,2.ㄍㄨㄥˋ,2.禍福與共、共同、共計、共\n識、共有,
105,其,1.ㄑ丨ˊ\n2.ㄐ丨（限讀）,1.其實、其餘、尤其\n2.酈食其（ㄌ丨ˋ 丨ˋ ㄐ丨\n，人名）,
106,冊,ㄘㄜˋ,第二冊、紀念冊、註冊、冊封,
107,冒,1.ㄇㄠˋ\n2.ㄇㄛˋ（限讀）,1.冒犯、冒險、冒充、冒失\n2.冒頓（ㄇㄛˋ ㄉㄨˊ，漢初\n匈奴的單于）,
108,冠,1.ㄍㄨㄢ\n2.ㄍㄨㄢˋ,1.冠冕堂皇、皇冠、雞冠、加\n冠、衣冠沐猴\n2.冠夫姓、冠禮、冠絕古今、\n冠軍、冠詞,
109,几,1.ㄐ丨\n2.ㄐ丨ˇ,1.窗明几淨、茶几\n2.「幾」之異體字。,
110,凹,ㄠ,凹凸不平、凹陷,丨ㄠ、ㄨㄚ併讀為ㄠ。
111,凸,ㄊㄨˊ,凸透鏡、凸出、凹凸不平,ㄊㄨ併讀為ㄊㄨˊ。
112,分,1.ㄈㄣ\n2.ㄈㄣˋ,1.分析、分數\n2.本分、部分、分外、身分證,
113,切,1.ㄑ丨ㄝ\n2.ㄑ丨ㄝˋ,1.切麵、切斷、切磋\n2.悲切、密切、一切、咬牙切\n齒、望聞問切,
114,刨,1.ㄅㄠˋ\n2.ㄆㄠˊ,1.刨冰、刨木、刨子\n2.刨土、刨根、刨除,
115,刻,ㄎㄜˋ,片刻、雕刻、刻苦、刻意,ㄎㄜ併讀為ㄎㄜˋ。
116,刷,ㄕㄨㄚ,粉刷、刷新、刷牙,ㄕㄨㄚˋ併讀為ㄕㄨㄚ。
117,剎,1.ㄔㄚˋ\n2.ㄕㄚ,1.羅剎、古剎、剎那\n2.剎車,
118,削,1.ㄒ丨ㄠ語\n2.ㄒㄩㄝˋ讀,1.刀削麵、削鉛筆\n2.剝削、削壁、削足適履、瘦\n削,
119,剌,1.ㄌㄚˊ\n2.ㄌㄚˋ,1.剌剌塌塌、剌開\n2.大剌剌、剌謬、乖剌,
120,剖,ㄆㄡˇ,剖面、剖開、解剖,ㄆㄡ併讀為ㄆㄡˇ。
121,剝,ㄅㄛ,剝皮、剝離、剝削,ㄅㄠ併讀為ㄅㄛ。
122,剡,1.ㄕㄢˋ\n2.丨ㄢˇ,1.剡溪（水名）、剡縣（地名\n）\n2.「剡木為矢。」（《易經》\n）,
123,副,ㄈㄨˋ,名副其實、副手、副詞、一副\n對聯,
124,創,1.ㄔㄨㄤ\n2.ㄔㄨㄤˋ,1.創痕、創傷、身受重創\n2.開創、創舉,
125,劃,1.ㄏㄨㄚˊ\n2.ㄏㄨㄚˋ,1.劃了一道傷口、劃火柴\n2.規劃、劃撥、劃時代,
126,劇,ㄐㄩˋ,歌劇、劇烈、惡作劇,ㄐ丨ˊ併讀為ㄐㄩˋ。
127,劈,ㄆ丨,劈啪、劈頭、劈腿、劈柴、天\n打雷劈,ㄆ丨ˇ併讀為ㄆ丨。
128,劊,ㄎㄨㄞˋ,劊子手,ㄍㄨㄟˋ併讀為ㄎㄨㄞˋ。
129,勁,ㄐ丨ㄥˋ,不對勁、疾風勁草、勁道,ㄐ丨ㄣˋ併讀為ㄐ丨ㄥˋ。
130,勒,1.ㄌㄜˋ\n2.ㄌㄟ,1.勒馬、勒令、勒石、勒索\n2.勒緊、勒死,ㄌㄜ併讀為ㄌㄜˋ。
131,勘,ㄎㄢ,探勘、勘查、勘誤、校勘,ㄎㄢˋ併讀為ㄎㄢ。
132,勞,1.ㄌㄠˊ\n2.ㄌㄠˋ,1.疲勞、勞工、勞師動眾、勞\n什子、勞燕分飛、功勞\n2.勞軍、慰勞,
133,勝,1.ㄕㄥ\n2.ㄕㄥˋ,1.不勝枚舉、勝任\n2.尋幽覽勝、戰勝,
134,勦,1.ㄐ丨ㄠˇ\n2.ㄔㄠ,1.勦滅、勦除\n2.勦襲、勦說,ㄐ丨ㄠˇ，通「剿」；ㄔㄠ，通\n「抄」。
135,勺,1.ㄓㄨㄛˊ\n2.ㄕㄠˊ,1.「誦詩舞勺。」（《禮記》\n）\n2.湯勺、勺子,ㄕㄨㄛˋ為ㄕㄠˊ之讀音、ㄓㄨㄛ\nˊ之又音，分別併讀為ㄕㄠˊ、ㄓ\nㄨㄛˊ。
136,勾,1.ㄍㄡ\n2.ㄍㄡˋ,1.勾搭、勾勒、勾魂攝魄、勾\n芡、勾引、一筆勾消\n2.勾當,
137,包,1.ㄅㄠ\n2.ㄆㄠˋ（限讀）,1.包管沒事、包裝、麵包、書\n包、一包糖果、一手包辦\n2.車馬包,象棋子名及其相關詞語，音\nㄆㄠˋ。
138,化,1.ㄏㄨㄚˋ\n2.ㄏㄨㄚ（限讀）,1.化境、化險為夷、化學、化\n裝、化石、造化弄人、文化\n2.叫化子,
139,北,ㄅㄟˇ,敗北、北方、北上,ㄅㄛˋ併讀為ㄅㄟˇ。
140,匙,1.ㄔˊ\n2.˙ㄕ,1.湯匙、三匙的糖\n2.鎖匙、鑰匙,
141,匱,1.ㄍㄨㄟˋ\n2.ㄎㄨㄟˋ,1.「櫃」之本字。\n2.不虞匱乏、窮匱,
142,匹,1.ㄆ丨\n2.ㄆ丨ˇ,1.馬匹、單槍匹馬\n2.布匹、匹配、匹夫之勇、匹\n敵,
143,匿,ㄋ丨ˋ,匿名、銷聲匿跡、藏匿,
144,區,1.ㄑㄩ\n2.ㄡ,1.區別、區區、區域\n2.姓（如漢代有區博）。,
145,午,ㄨˇ,午時、午睡；姓（如漢代有午\n汝臣）。,˙ㄏㄨㄛ併讀為ㄨˇ。
146,卒,1.ㄗㄨˊ\n2.ㄘㄨˋ,1.暴卒、販夫走卒、士卒、卒\n業\n2.倉卒、卒然,
147,卓,ㄓㄨㄛˊ,卓然、卓越,
148,南,1.ㄋㄢˊ\n2.ㄋㄚˊ（限讀）,1.南方、南柯一夢、南腔北調\n、南下、南岸、南轅北轍\n2.南無（ㄇㄛˊ）,
149,卡,ㄎㄚˇ,關卡、卡通、卡路里、卡車,
150,占,1.ㄓㄢ\n2.ㄓㄢˋ,1.占卜、占夢、占星\n2.占領、占據、占有,
151,卷,1.ㄐㄩㄢˇ\n2.ㄐㄩㄢˋ\n3.ㄑㄩㄢˊ,1.卷積雲、卷心菜、卷舌\n2.卷軸、卷宗、試卷、書卷、\n萬卷書\n3.卷曲、卷卷,ㄐㄩㄢˇ音，通「捲」。
152,原,ㄩㄢˊ,原來、原諒、原則,
153,厭,1.丨ㄢˋ\n2.丨ㄢ（限讀）,1.討厭、貪得無厭、會厭\n2.厭厭,
154,厲,ㄌ丨ˋ,厲害、再接再厲、嚴厲,
155,參,1.ㄕㄣ\n2.ㄘㄢ\n3.ㄘㄣ,1.動如參商、人參\n2.參觀、參考、參加\n3.參差（ㄘ）,
156,叉,ㄔㄚ,刀叉、交叉、叉燒,
157,反,ㄈㄢˇ,反覆、反對、反省、反而、相\n反,ㄈㄢ併讀為ㄈㄢˇ。
158,叟,ㄙㄡˇ,童叟無欺、老叟,
159,曼,ㄇㄢˋ,曼妙、羅曼史、輕歌曼舞,ㄨㄢˋ併讀為ㄇㄢˋ。
160,叢,ㄘㄨㄥˊ,花叢、叢生、叢書,ㄘㄨㄥ併讀為ㄘㄨㄥˊ。
161,可,1.ㄎㄜˇ\n2.ㄎㄜˋ（限讀）,1.可口、可是、可愛、「你可\n回來了！」\n2.可汗（ㄏㄢˊ）,
162,召,1.ㄓㄠˋ\n2.ㄕㄠˋ,1.感召、召喚、召集、應召\n2.召南（《詩經》章目）；姓\n（如漢代有召平）。,
163,叨,1.ㄉㄠ\n2.ㄊㄠ,1.叨念、嘮叨、絮絮叨叨\n2.叨教、叨擾,
164,只,ㄓˇ,只管、只是、只有,
165,台,1.丨ˊ\n2.ㄊㄞˊ,1.「諸呂不台。」（《史記》\n）\n2.「臺」之異體字。,ㄊㄞ併讀為ㄊㄞˊ。
166,句,1.ㄍㄡ\n2.ㄐㄩˋ\n3.ㄍㄡˋ（限讀）,1.高句麗、句踐（人名）\n2.句讀（ㄉㄡˋ）、句子、三\n句話\n3.句當（同「勾當」）,
167,同,1.ㄊㄨㄥˊ\n2.ㄊㄨㄥˋ,1.不同、陪同、同意、合同\n2.胡同（同「衚衕」）,
168,吐,1.ㄊㄨˇ\n2.ㄊㄨˋ,1.談吐、吐痰、吐露、吐氣、\n吞吞吐吐\n2.吐血、上吐下瀉、嘔吐,從口中出，音ㄊㄨˇ；從胃中出\n，音ㄊㄨˋ。
169,合,1.ㄍㄜˇ\n2.ㄏㄜˊ,1.公合（量詞）、朝升暮合\n2.符合、天作之合、合適、合\n作、集合、折合現金,
170,吃,1.ㄐ丨ˊ\n2.ㄔ,1.口吃、「笑吃吃不止。」（\n漢．伶玄《趙飛燕外傳》）\n2.吃飯、吃力、吃虧,
171,吭,1.ㄎㄥ\n2.ㄏㄤˊ,1.悶不吭聲、吭氣\n2.引吭高歌,
172,吾,ㄨˊ,吾輩、吾人、維吾爾族,
173,否,1.ㄆ丨ˇ\n2.ㄈㄡˇ,1.否卦（《易經》卦名）、否\n極泰來、臧否\n2.不置可否、否定、否則、「\n知否？」,
174,吧,1.ㄅㄚ\n2.˙ㄅㄚ,1.吧檯、酒吧\n2.「給我吧！」、「算了吧！\n」,
175,呆,ㄉㄞ,目瞪口呆、發呆、呆板,ㄞˊ併讀為ㄉㄞ。
176,告,1.ㄍㄠˋ\n2.ㄍㄨˋ（限讀）,1.報告、告狀、公告、忠告、\n原告\n2.告朔,
177,吹,ㄔㄨㄟ,吹毛求疵、吹風、吹牛,
178,呀,1.ㄒ丨ㄚ\n2.丨ㄚ\n3.˙丨ㄚ,1.呀然（吃驚張口貌）、「汝\n口開呀呀。」（唐．韓愈〈\n月蝕〉詩）\n2.呀的一聲、呀然（開、關門\n聲）、「哎呀！下大雨了！\n」\n3.「他呀，總是這樣！」,
179,吱,ㄓ,吱吱咯咯、吱吱喳喳,
180,含,ㄏㄢˊ,包含、含淚、含水量,
181,呵,1.ㄏㄜ\n2.ㄛ,1.呵護、呵欠、笑呵呵\n2.「呵！這麼多錢！」,
182,咔,ㄎㄚ,咔啦、咔擦,
183,呱,1.ㄍㄨㄚ\n2.ㄨㄚ,1.頂呱呱、呱呱叫\n2.呱呱墮地、呱呱而泣,ㄍㄨ併讀為ㄨㄚ。
