流水號,國字,審定音,詞語例或說明,備注
433,戲,1.ㄒ丨ˋ\n2.ㄏㄨ（限讀）,1.戲弄、戲水、遊戲、演戲\n2.於戲（ㄨ ㄏㄨ，同「嗚呼\n」）,
434,扁,1.ㄅ丨ㄢˇ\n2.ㄆ丨ㄢ,1.扁平、扁擔、扁食\n2.扁舟,
435,扃,ㄐㄩㄥ,門不夜扃、扃戶,
436,扇,1.ㄕㄢ\n2.ㄕㄢˋ,1.扇動、扇枕溫席\n2.門扇、扇子,ㄕㄢ音，通「煽」、「搧」。
437,扎,1.ㄓㄚ\n2.ㄓㄚˊ,1.扎根、扎手\n2.掙扎,
438,打,ㄉㄚˇ,打鬥、打電話、打鐵趁熱、打\n針,ㄉㄚˊ併讀為ㄉㄚˇ。
439,扔,ㄖㄥ,扔下、「把球扔過來。」,ㄖㄥˇ併讀為ㄖㄥ。
440,扒,1.ㄅㄚ\n2.ㄆㄚˊ,1.扒著欄杆、扒住、扒衣服\n2.扒手、豬扒、手扒雞,
441,扛,1.ㄍㄤ\n2.ㄎㄤˊ,1.扛鼎、扛桌子\n2.扛槍、扛責任,用兩手舉，音ㄍㄤ；以肩荷物，\n音ㄎㄤˊ。
442,把,1.ㄅㄚˇ\n2.ㄅㄚˋ,1.把持、把關、火把、一把傘\n2.刀把兒、槍把,ㄅㄞˇ併讀為ㄅㄚˇ。
443,扳,ㄅㄢ,扳倒、扳回一城、扳機、扳手,
444,折,1.ㄓㄜ\n2.ㄓㄜˊ\n3.ㄕㄜˊ,1.折莫（同「遮莫」）、折騰\n2.百折不撓、打折、折扣、挫\n折\n3.折本、折耗,
445,抓,ㄓㄨㄚ,抓住、抓癢,ㄓㄠ併讀為ㄓㄨㄚ。
446,拌,ㄅㄢˋ,拌嘴、涼拌、攪拌,
447,拂,ㄈㄨˊ,拂面、拂袖、紅拂記（書名\n）,
448,抹,1.ㄇㄛˇ\n2.ㄇㄛˋ,1.抹布、抹殺、塗抹\n2.抹灰、拐彎抹角、「輕攏慢\n撚抹復挑。」（唐．白居易\n〈琵琶行〉）,
449,招,ㄓㄠ,絕招、招供、招生、招惹,
450,披,ㄆ丨,披肝瀝膽、披荊斬棘、披卷,ㄆㄟ併讀為ㄆ丨。
451,拓,1.ㄊㄚˋ\n2.ㄊㄨㄛˋ,1.拓碑、拓本\n2.拓跋（複姓，如北魏有拓跋\n珪）、拓荒、落拓、開拓,
452,拈,ㄋ丨ㄢˊ,拈弄、拈花惹草、拈香,
453,押,丨ㄚ,畫押、羈押、押寶、押解,丨ㄚˊ併讀為丨ㄚ。
454,拍,ㄆㄞ,拍照、拍手、節拍,ㄆㄛˋ併讀為ㄆㄞ。
455,抵,ㄉ丨ˇ,抵達、抵抗、抵住、抵償、抵\n觸,ㄉ丨ˊ併讀為ㄉ丨ˇ。
456,拗,1.ㄋ丨ㄡˋ\n2.ㄠ\n3.ㄠˇ\n4.ㄠˋ,1.脾氣真拗、拗不過、拗相公\n、拗性、執拗\n2.硬拗、「不要拗了！」\n3.拗花、拗曲作直\n4.拗口、違拗,1.丨ㄠˋ併讀為ㄠˋ。\n2.性情不順，音ㄋ丨ㄡˋ；行為\n不順，音ㄠˋ。\n3.ㄠ音源於閩南語，指強詞奪理\n。
457,拆,ㄔㄞ,過河拆橋、拆卸,ㄔㄜˋ併讀為ㄔㄞ。
458,挖,ㄨㄚ,挖空心思、挖掘,ㄨㄚˊ併讀為ㄨㄚ。
459,拽,ㄓㄨㄞˋ,東扯西拽、生拉硬拽,丨ㄝˋ併讀為ㄓㄨㄞˋ。
460,括,1.ㄍㄨㄚ\n2.ㄎㄨㄛˋ（限讀）,1.包括、概括、括號、搜括\n2.括約肌,
461,拾,1.ㄕˊ\n2.ㄕㄜˋ（限讀）,1.撿拾、拾圓硬幣\n2.拾級,
462,挑,1.ㄊ丨ㄠ\n2.ㄊ丨ㄠˇ,1.挑夫、挑剔、挑土、挑選\n2.挑撥、挑筆、挑眉、挑逗、\n挑燈,
463,捎,ㄕㄠ,捎帶、捎信,
464,挾,ㄒ丨ㄚˊ,挾帶、挾天子以令諸侯、挾勢\n、挾怨,ㄒ丨ㄝˊ併讀為ㄒ丨ㄚˊ。
465,振,ㄓㄣˋ,振臂一呼、振幅、士氣大振、\n威振天下,
466,捕,ㄅㄨˇ,捕魚、逮捕、巡捕,ㄅㄨˋ併讀為ㄅㄨˇ
467,挨,ㄞ,挨打、挨家挨戶、挨著,ㄞˊ併讀為ㄞ。
468,捋,1.ㄌㄜˋ\n2.ㄌㄨㄛ,1.捋虎鬚\n2.捋臂捲袖、捋汗、捋袖子,
,,3.ㄌㄩˇ,3.捋鬍鬚,
469,挲,ㄙㄨㄛ,摩挲,
470,掖,1.丨ㄝ\n2.丨ㄝˋ,1.藏（ㄘㄤˊ）掖、掖在袖裡\n2.獎掖、掖門、掖縣（地名）,丨ˋ併讀為丨ㄝˋ。
471,探,ㄊㄢˋ,探聽、探路、探究、探親、偵\n探,ㄊㄢ併讀為ㄊㄢˋ。
472,掃,1.ㄙㄠˇ\n2.ㄙㄠˋ,1.掃地、掃興\n2.掃把、掃帚,
473,掄,1.ㄌㄨㄣ\n2.ㄌㄨㄣˊ,1.掄眉豎目、掄拳\n2.掄材,
474,掙,1.ㄓㄥ\n2.ㄓㄥˋ,1.掙面子、掙脫、掙扎\n2.掙命、掙錢,
475,排,ㄆㄞˊ,排隊、排練、排球、排斥、排\n除、排山倒海、牛排,
476,捻,ㄋ丨ㄢˇ,燈捻、捻匪、捻繩,
477,捩,ㄌ丨ㄝˋ,轉捩點,
478,捽,ㄗㄨˊ,捽脫、捽扯,ㄗㄨㄛˊ併讀為ㄗㄨˊ。
479,掇,ㄉㄨㄛˊ,掇拾、掇送、拈掇,ㄉㄨㄛ併讀為ㄉㄨㄛˊ。
480,据,1.ㄐㄩ\n2.ㄐㄩˋ,1.拮据\n2.「據」之異體字。,
481,揆,ㄎㄨㄟˊ,閣揆、揆情度（ㄉㄨㄛˋ）理,ㄎㄨㄟˇ併讀為ㄎㄨㄟˊ。
482,提,ㄊ丨ˊ,提拔、提名、提防、提款、提\n神、提議,
483,揖,丨,作揖、揖讓,
484,揭,1.ㄐ丨ㄝ\n2.ㄑ丨ˋ,1.揭幕、揭發、揭露、揭竿而\n起、揭櫫、揭穿\n2.「深則厲，淺則揭。」（《\n詩經》）,
485,揄,ㄩˊ,揶揄、揄揚,
486,搽,ㄔㄚˊ,搽旦、搽灰抹土,ㄘㄚ併讀為ㄔㄚˊ。
487,搶,1.ㄑ丨ㄤ\n2.ㄑ丨ㄤˇ,1.搶風、「以頭搶地爾。」（\n《戰國策》）\n2.搶奪、搶購、搶劫、搶修,ㄔㄨㄤˇ併讀為ㄑ丨ㄤ。
488,搐,ㄔㄨˋ,抽搐、搐動、搐縮,
489,撇,1.ㄆ丨ㄝ\n2.ㄆ丨ㄝˇ,1.撇開、撇棄、撇清、撇下\n2.八字沒一撇、撇嘴,
490,摘,ㄓㄞ,指古摘今、摘錄、摘花,
491,摸,ㄇㄛ,摸四圈、偷雞摸狗、捉摸、觸\n摸、「他摸了老半天才出門。\n」、「從袋裡摸出皮夾。」,ㄇㄠ併讀為ㄇㄛ。
492,摟,1.ㄌㄡ\n2.ㄌㄡˊ\n3.ㄌㄡˇ,1.摟攬、摟貨、摟錢、摟搜\n2.「摟，曳聚也。」（《說文\n》）\n3.摟抱、摟在懷裡,
493,摺,ㄓㄜˊ,摺紙、摺扇、存摺,ㄓㄜˇ併讀為ㄓㄜˊ。
494,摻,1.ㄔㄢ\n2.ㄕㄢˇ\n3.ㄘㄢˋ,1.摻水、摻雜\n2.「摻執子之袪兮。」（《詩\n經》）\n3.漁陽摻撾（鼓曲名）,
495,摩,ㄇㄛˊ,摩天大樓、摩擦、觀摩,
496,撞,ㄓㄨㄤˋ,頂撞、撞見、衝撞,ㄔㄨㄤˊ併讀為ㄓㄨㄤˋ。
497,撈,1.ㄌㄠ\n2.ㄌㄠˊ（限讀）,1.撈麵、撈取\n2.撈什子（同「勞什子」）,
498,撕,1.ㄙ\n2.ㄒ丨（限讀）,1.撕破臉、撕開、撕毀\n2.提撕,
499,撩,ㄌ丨ㄠˊ,撩撥、撩人、眼花撩亂,
500,撒,1.ㄙㄚ\n2.ㄙㄚˇ,1.撒旦、撒謊、撒嬌、撒手、\n撒野、撒網\n2.撒落、撒種,
501,撮,ㄘㄨㄛˋ,公撮、撮合,ㄗㄨㄛˇ、ㄘㄨㄛ併讀為ㄘㄨㄛˋ\n。
502,撬,ㄑ丨ㄠˋ,撬門、撬開,ㄑ丨ㄠ併讀為ㄑ丨ㄠˋ。
503,撢,ㄉㄢˇ,雞毛撢子、「撢一撢灰塵。」,
504,撣,1.ㄉㄢˇ\n2.ㄕㄢˋ（限讀）,1.布撣子、撣灰\n2.撣族（民族名）,
505,擁,ㄩㄥˇ,簇擁、擁抱、擁有,ㄩㄥ併讀為ㄩㄥˇ。
506,擋,1.ㄉㄤˇ\n2.ㄉㄤˋ,1.排擋、阻擋\n2.摒（ㄅ丨ㄥˋ）擋,
507,擄,ㄌㄨˇ,擄掠、擄人勒贖,ㄌㄨㄛˇ併讀為ㄌㄨˇ
508,擇,ㄗㄜˊ,飢不擇食、選擇,ㄓㄞˊ併讀為ㄗㄜˊ。
509,擂,ㄌㄟˊ,擂臺、擂鼓、自吹自擂,ㄌㄟˋ併讀為ㄌㄟˊ。
510,操,ㄘㄠ,體操、重操舊業、操兵、操刀\n、操行、穩操勝算,ㄘㄠˋ併讀為ㄘㄠ。
511,擔,1.ㄉㄢ\n2.ㄉㄢˋ,1.扁擔、擔心、擔水、承擔\n2.擔擔麵、重擔、一擔米,
512,擰,1.ㄋ丨ㄥˇ\n2.ㄋ丨ㄥˋ,1.擰乾、擰開、「弄擰了！」\n2.擰性、「這小孩脾氣真擰！\n」,ㄋ丨ㄥˊ併讀為ㄋ丨ㄥˇ。
513,擻,ㄙㄡˇ,抖擻,
514,擷,ㄐ丨ㄝˊ,擷取、採擷,ㄒ丨ㄝˊ併讀為ㄐ丨ㄝˊ。
515,攘,ㄖㄤˊ,熙來攘往、擾攘、攘臂、攘外\n安內、尊王攘夷,ㄖㄤˇ併讀為ㄖㄤˊ。
516,攝,1.ㄋ丨ㄝˋ,1.「天下攝然，人安其生。」\n（《漢書》）,
,,2.ㄕㄜˋ,2.拍攝、攝取、攝政,
517,攜,ㄒ丨,攜家帶眷、攜手,ㄒ丨ㄝˊ併讀為ㄒ丨。
518,攢,1.ㄗㄢˇ\n2.ㄘㄨㄢˊ,1.積攢、攢錢\n2.攢眉、攢聚、萬頭攢動,財物積聚，音ㄗㄢˇ；餘則音ㄘ\nㄨㄢˊ。
519,攣,ㄌㄨㄢˊ,痙攣、拘攣,ㄌㄩㄢˊ、ㄌ丨ㄢˋ併讀為ㄌㄨㄢ\nˊ。
520,攪,ㄐ丨ㄠˇ,打攪、攪拌、攪亂、攪和（ㄏ\nㄨㄛˋ）,
521,放,1.ㄈㄤˇ\n2.ㄈㄤˋ,1.「放於利而行。」（《論語\n》）\n2.百花齊放、放大、放牛、放\n假、放棄、放逐,
522,敖,ㄠˊ,敖遊、「敖其婦女。」（《管\n子》）,
523,教,1.ㄐ丨ㄠ\n2.ㄐ丨ㄠˋ,1.教書、教一識百\n2.佛教、教材、教學、教學相\n長、教唆、教育、因材施教,單用作動詞時，音ㄐ丨ㄠ，餘則\n音ㄐ丨ㄠˋ。
524,敦,1.ㄉㄨㄟˋ\n2.ㄉㄨㄣ,1.敦槃（銅器名）\n2.敦品勵學、敦煌、敦厚、敦\n親睦鄰、敦請,
525,散,1.ㄙㄢˇ\n2.ㄙㄢˋ,1.懶散、散亂、散光、散文、\n一盤散沙、丸散\n2.分散、散播、散步、散熱,名詞與內部組織不緊密義，音ㄙ\nㄢˇ，餘則音ㄙㄢˋ。
526,數,1.ㄕㄨˇ\n2.ㄕㄨˋ\n3.ㄕㄨㄛˋ\n4.ㄘㄨˋ（限讀）,1.數來寶、數落\n2.數目、數學\n3.數見不鮮（ㄒ丨ㄢ）、數數\n4.數罟,
527,敺,ㄑㄩ,為淵敺魚、「為湯武敺民者，\n桀與紂也。」（《孟子》）,
528,斁,1.ㄉㄨˋ\n2.丨ˋ,1.攸（丨ㄡ）斁\n2.無斁,
529,文,1.ㄨㄣˊ\n2.ㄨㄣˋ,1.文質彬彬、文字\n2.文過飾非、文飾,
530,斐,ㄈㄟˇ,斐濟、斐然,ㄈㄟ併讀為ㄈㄟˇ。
531,斜,ㄒ丨ㄝˊ,傾斜、斜坡、斜視,ㄒ丨ㄚˊ併讀為ㄒ丨ㄝˊ。惟古詩\n詞押韻時，仍可讀作ㄒ丨ㄚˊ。
532,斡,ㄨㄛˋ,迴斡、斡旋,
533,於,1.ㄨ\n2.ㄩˊ,1.於菟、於戲（ㄨ ㄏㄨ，同\n「鳴呼」）\n2.定於一尊、於今、於是、於\n事無補,
534,施,1.ㄕ\n2.丨ˊ,1.布施、施行、施捨；姓（如\n清代有施琅）。\n2.施施、「施從良人之所之。\n」（《孟子》）,
535,旁,ㄆㄤˊ,旁邊、旁門左道、旁徵博引、\n旁人,
536,旋,1.ㄒㄩㄢˊ\n2.ㄒㄩㄢˋ,1.凱旋、旋律、旋即、斡旋\n2.旋風、旋球,
537,日,1.ㄖˋ\n2.ㄇ丨ˋ（限讀）,1.春日、生日、日薄西山、日\n子、日月、日用品\n2.金日磾（ㄐ丨ㄣ ㄇ丨ˋ\nㄉ丨，人名，西漢時人）,
538,昔,ㄒ丨ˊ,奶昔、昔日、往昔,
539,昆,1.ㄎㄨㄣ\n2.ㄏㄨㄣˊ（限讀）,1.昆仲、昆蟲\n2.昆邪（ㄏㄨㄣˊ 丨ㄝˊ，匈\n奴部落名）,
540,昳,1.ㄉ丨ㄝˊ\n2.丨ˋ,1.日昳、自晡至昳\n2.昳麗,
541,晃,1.ㄏㄨㄤˇ\n2.ㄏㄨㄤˋ,1.亮晃晃、晃耀、「窗外人影\n一晃。」\n2.晃蕩、搖晃、「轎子一晃一\n晃。」,光亮及閃動義，音ㄏㄨㄤˇ；搖\n動義，音ㄏㄨㄤˋ。
542,晟,1.ㄔㄥˊ\n2.ㄕㄥˋ（限讀）,1.「晟，明也。」（《集韻》\n）\n2.大晟府,
543,景,ㄐ丨ㄥˇ,景仰、景物、春和景明,
544,暇,ㄒ丨ㄚˊ,閒暇、應接不暇,ㄒ丨ㄚˋ併讀為ㄒ丨ㄚˊ。
545,暈,1.ㄩㄣ\n2.ㄩㄣˋ,1.頭暈眼花、暈倒、暈車\n2.墨暈、酒暈、月暈、暈開,1.丨ㄣˋ併讀為ㄩㄣˋ。\n2.凡與頭昏有關，音ㄩㄣ。
546,暖,1.ㄋㄨㄢˇ\n2.ㄒㄩㄢ（限讀）,1.暖炕、暖和（˙ㄏㄨㄛ）、\n暖酒、暖壽、溫暖\n2.暖姝,ㄋㄤˇ併讀為ㄋㄨㄢˇ。
547,暍,ㄏㄜˋ,暍暍、暍人,丨ㄝˋ併讀為ㄏㄜˋ。
548,暝,ㄇ丨ㄥˊ,暝色、昏暝,ㄇ丨ㄥˋ併讀為ㄇ丨ㄥˊ。
549,暫,ㄓㄢˋ,短暫、暫停、暫時,ㄗㄢˋ併讀為ㄓㄢˋ。
550,暴,1.ㄅㄠˋ\n2.ㄆㄨˋ,1.暴斃、暴虐、暴躁\n2.暴露、一暴十寒,
551,曲,1.ㄑㄩ\n2.ㄑㄩˇ,1.曲突徙薪、曲棍球、曲線、\n歪曲、委曲求全、彎曲\n2.歌曲、高歌一曲、曲高和寡\n、元曲,
552,曳,丨ˋ,拖曳、曳引機、搖曳,丨ㄝˋ併讀為丨ˋ。
553,更,1.ㄍㄥ\n2.ㄍㄥˋ,1.變更、更夫、更生人、少不\n更事、自力更生、三更半夜\n2.更好、更上層樓,
554,曾,1.ㄗㄥ\n2.ㄘㄥˊ,1.曾祖父、曾孫；姓（如春秋\n時有曾參）。\n2.曾經、似曾相識、未曾,
555,會,1.ㄎㄨㄞˋ\n2.ㄏㄨㄟˇ\n3.ㄏㄨㄟˋ\n4.ㄍㄨㄟˋ（限讀）,1.會計；姓（如漢代有會栩）\n。\n2.一會兒\n3.都會、農會、領會、機會\n4.會稽（地名）,
556,有,1.丨ㄡˇ\n2.丨ㄡˋ,1.富有、有目共睹、有教無類\n、有效、應有盡有\n2.「吾十有五而志於學。」（\n《論語》）,
557,期,1.ㄐ丨\n2.ㄑ丨ˊ,1.期服、期年\n2.期待、期限、期望、日期,ㄑ丨併讀為ㄑ丨ˊ。
558,朝,1.ㄓㄠ\n2.ㄔㄠˊ,1.朝露、朝會、朝氣蓬勃、有\n朝一日\n2.朝代、朝廷、朝覲、朝聖,
559,朴,1.ㄆㄛˋ\n2.ㄆㄨˊ,1.朴硝、厚朴（植物名）\n2.抱朴子（書名）、朴實、素\n朴,
560,朱,ㄓㄨ,近朱者赤、朱門、朱砂；姓（\n如宋代有朱熹）。,
561,杉,ㄕㄢ,洛杉磯（地名）、杉木,ㄕㄚ併讀為ㄕㄢ。
562,杠,ㄍㄤ,徒杠、杠梁,
563,杓,1.ㄅ丨ㄠ\n2.ㄕㄠˊ,1.斗杓\n2.杯杓、後腦杓,
564,枕,1.ㄓㄣˇ\n2.ㄓㄣˋ,1.枕邊細語、枕木、枕骨\n2.枕戈待旦、「曲肱而枕之。\n」（《論語》）,
565,杷,ㄆㄚˊ,枇杷,ㄅㄚ併讀為ㄆㄚˊ。
566,枝,ㄓ,枝節、樹枝,
567,枓,1.ㄉㄡˇ\n2.ㄓㄨˇ,1.枓栱\n2.吉吉枓枓、「浴水用盆，沃\n水用枓。」（《禮記》）,
568,某,1.ㄇㄟˊ\n2.ㄇㄡˇ,1.「梅」之古字。\n2.某甲、某些事物、某人,
569,柵,ㄓㄚˋ,木柵、柵欄,ㄕㄢˋ併讀為ㄓㄚˋ。
570,柄,ㄅ丨ㄥˇ,把柄、刀柄、權柄,ㄅ丨ㄥˋ併讀為ㄅ丨ㄥˇ。
571,柑,ㄍㄢ,椪柑、柑橘,
572,查,1.ㄓㄚ\n2.ㄔㄚˊ,1.姓（如五代時有查文徽）。\n2.調查、檢查,
573,枸,1.ㄍㄡ\n2.ㄍㄡˇ\n3.ㄐㄩˇ,1.「夫枸木必待檃括烝矯然後\n直。」（《荀子》）\n2.枸骨、枸杞\n3.枸櫞,
574,柏,ㄅㄛˊ,柏樹、柏油,ㄅㄞˇ併讀為ㄅㄛˊ。
575,柞,1.ㄗㄜˊ\n2.ㄗㄨㄛˋ,1.「載芟載柞。」（《詩經》\n）\n2.柞蠶,
576,枹,ㄈㄨˊ,枹鼓,ㄈㄨ併讀為ㄈㄨˊ。
577,校,1.ㄐ丨ㄠˋ\n2.ㄒ丨ㄠˋ,1.校對、校量、校閱\n2.校友、校尉、學校、上校,
578,桔,1.ㄐ丨ㄝˊ\n2.ㄐㄩˊ,1.桔槔、桔梗\n2.「橘」之異體字。,
579,柴,ㄔㄞˊ,木柴、砍柴、火柴、柴魚,
580,梧,ㄨˊ,魁梧、梧桐,
581,械,ㄒ丨ㄝˋ,刀械、機械、械鬥,ㄐ丨ㄝˋ併讀為ㄒ丨ㄝˋ。
582,梡,ㄎㄨㄢˇ,「俎，有虞氏以梡。」（《禮記\n》）、「梡革為鞠。」（漢．揚雄\n《法言》）,
583,梲,ㄓㄨㄛˊ,楶（ㄐ丨ㄝˊ）梲、藻梲,
584,椅,丨ˇ,第一把交椅、椅墊、椅子,
585,棹,1.ㄓㄠˋ\n2.ㄓㄨㄛ,1.飛棹、櫓棹\n2.「桌」之異體字。,
586,棲,1.ㄑ丨\n2.ㄒ丨,1.兩棲、棲息、棲身\n2.棲遑、棲棲（同「栖栖」）,
587,棣,ㄉ丨ˋ,棠棣競秀、常棣；姓（如漢代\n有棣立）。,
588,棋,ㄑ丨ˊ,舉棋不定、棋逢對手、棋子,
589,椎,1.ㄓㄨㄟ\n2.ㄔㄨㄟˊ,1.脊椎、泣血椎心\n2.博浪飛椎、鏈椎,
590,業,丨ㄝˋ,農業、企業、職業、成家立業\n、業障,ㄋ丨ㄝˋ併讀為丨ㄝˋ。
591,楔,ㄒ丨ㄝ,楔形文字、楔子,ㄒ丨ㄝˋ併讀為ㄒ丨ㄝ。
592,楞,1.ㄌㄥˊ\n2.ㄌㄥˋ,1.楞角、楞伽經（佛教典籍）\n2.楞住、傻楞楞、瓦楞紙,
593,榜,1.ㄅㄤˇ\n2.ㄅㄥˋ,1.榜樣、標榜、放榜\n2.榜歌、榜舟、榜人,
594,槍,1.ㄑ丨ㄤ\n2.ㄔㄥ（限讀）,1.標槍、槍林彈雨、煙槍\n2.欃槍（彗星名）,
595,榦,1.ㄍㄢˋ\n2.ㄏㄢˊ,1.國之楨榦、樹榦\n2.井榦（同「井幹（ㄏㄢˊ）\n」）,
596,樣,丨ㄤˋ,榜樣、模樣、樣品,
597,標,ㄅ丨ㄠ,標新立異、標示、投標、錦標\n、商標,
598,模,ㄇㄛˊ,模範、模仿、模稜兩可、模樣,ㄇㄨˊ併讀為ㄇㄛˊ。
599,樂,1.ㄌㄜˋ\n2.丨ㄠˋ\n3.ㄩㄝˋ,1.樂天知命、樂觀其成、樂此\n不疲、快樂\n2.「仁者樂山。」（《論語》\n）\n3.音樂、樂經（書名）、樂器\n；姓（如戰國時有樂毅）。,
600,橫,1.ㄏㄥˊ\n2.ㄏㄥˋ,1.橫行霸道、橫生枝節、縱橫\n2.蠻橫、橫政、橫財、橫死,
601,橇,ㄑ丨ㄠ,冰橇、雪橇,ㄘㄨㄟˋ併讀為ㄑ丨ㄠ。
602,樨,ㄒ丨,木樨、樨枳子、草木樨,ㄒㄩ併讀為ㄒ丨。
603,檔,ㄉㄤˇ,八點檔、搭檔、檔案、高檔、\n這檔事,ㄉㄤˋ併讀為ㄉㄤˇ。
604,檜,ㄎㄨㄞˋ,檜木,ㄍㄨㄟˋ併讀為ㄎㄨㄞˋ。
605,檐,1.丨ㄢˊ\n2.ㄉㄢˋ,1.房檐、滴水檐、重（ㄔㄨㄥ\nˊ）檐\n2.「擔」之異體字。,
606,檳,ㄅ丨ㄣ,檳榔、香檳,ㄅ丨ㄥ併讀為ㄅ丨ㄣ。
607,檻,1.ㄎㄢˇ\n2.ㄐ丨ㄢˋ,1.門檻\n2.檻車、檻猿籠鳥、「直欄橫\n檻，多於九土之城郭。」（\n唐．杜牧〈阿房宮賦〉）,
608,櫟,1.ㄌ丨ˋ\n2.ㄩㄝˋ（限讀）,1.櫟散、樗櫟\n2.櫟陽（古地名）,
609,欏,ㄌㄨㄛˊ,杪欏,
610,次,ㄘˋ,名次、其次、次要,
611,欬,1.ㄎㄞˋ\n2.ㄎㄜˊ,1.謦欬、廣欬\n2.「咳」之異體字。,
612,欸,1.ㄞˇ\n2.ㄟˋ,1.欸乃\n2.「欸！我可以照辦。」,ㄞ併讀為ㄞˇ。
613,欹,1.ㄑ丨\n2.丨,1.「欹，歎詞。」（《廣韻》\n）\n2.「攲」之異體字。,
614,歐,ㄡ,歐巴桑、歐洲,
615,歙,1.ㄒ丨ˋ\n2.ㄕㄜˋ,1.歙歙、歙張\n2.歙縣（地名）、歙硯,
616,正,1.ㄓㄥ\n2.ㄓㄥˋ,1.正鵠、正朔、正月\n2.立正、正本清源、正好、正\n確、正直、純正,
617,歪,1.ㄨㄞ\n2.ㄨㄞˇ（限讀）,1.邪門歪道、歪斜\n2.歪了腳,
618,歸,ㄍㄨㄟ,歸國、完璧歸趙、于歸,
619,歹,ㄉㄞˇ,歹徒、為非作歹,
620,殷,1.丨ㄣ\n2.丨ㄣˇ\n3.丨ㄢ（限讀）,1.殷鑑不遠、殷切、殷勤、殷\n實、殷商；姓（如唐代有殷\n令名）。\n2.殷天動地、「殷，雷聲。」\n（《集韻》）\n3.殷紅,
621,殺,1.ㄕㄚ\n2.ㄕㄞˋ,1.殺風景、殺價、殺青、殺一\n儆百\n2.其勢稍殺、「親親之殺也。\n」（《禮記》）,
622,殼,ㄎㄜˊ,貝殼、蛋殼、地殼,ㄑ丨ㄠˋ、ㄑㄩㄝˋ併讀為ㄎㄜˊ\n。
623,毒,ㄉㄨˊ,毒害、毒品、惡毒,
624,比,1.ㄅ丨ˇ\n2.ㄅ丨ˋ,1.比目魚、比方、比較、比手\n畫腳、比翼鳥、評比、對比\n2.比比皆是、比年、比鄰、比\n肩、排比、朋比為奸,
625,氏,1.ㄕˋ\n2.ㄓ（限讀）,1.伏羲氏、姓氏、和氏壁\n2.月氏,
626,氐,ㄉ丨,氐族、氐宿、「封君皆氐首仰\n給焉。」（《漢書》）,
627,氓,1.ㄇㄥˊ\n2.ㄇㄤˊ（限讀）,1.編氓、氓隸\n2.流氓,
628,氯,ㄌㄩˋ,氯黴素、氯氣,ㄌㄨˋ併讀為ㄌㄩˋ。
629,氾,ㄈㄢˋ,氾博、氾濫成災、氾愛,
630,汗,1.ㄏㄢˋ\n2.ㄏㄢˊ（限讀）,1.汗牛充棟、汗衫、汗顏\n2.可（ㄎㄜˋ）汗,
631,汙,ㄨ,藏汙納垢、汙染、汙水,
632,沈,ㄕㄣˇ,姓（如清代有沈葆楨）。,依《國字標準字體表》「沈」、\n「沉」分開原則：「沈」，音ㄕ
,,,,ㄣˇ；「沉」，音ㄔㄣˊ。
633,沉,ㄔㄣˊ,低沉、沉沒（ㄇㄛˋ）、沉睡,依《國字標準字體表》「沈」、\n「沉」分開原則：「沉」，音ㄔ\nㄣˊ；「沈」，音ㄕㄣˇ。
634,沒,1.ㄇㄛˋ\n2.ㄇㄟˊ,1.沒收、沉沒\n2.沒有、沒用,
635,沃,ㄨㄛˋ,肥沃、以湯沃雪、沃野千里,ㄨˋ併讀為ㄨㄛˋ。
636,沆,ㄏㄤˋ,沆漭、沆溉、沆瀣一氣,
637,沏,ㄑ丨,沏茶、沏油,
638,汩,1.ㄍㄨˇ\n2.ㄩˋ,1.汩沒、汩亂、汩汩\n2.汩流,
639,泌,1.ㄅ丨ˋ\n2.ㄇ丨ˋ,1.泌陽（地名）、「泌之洋洋\n，可以樂飢。」（《詩經》\n）\n2.分泌、泌尿,
640,泥,1.ㄋ丨ˊ\n2.ㄋ丨ˋ,1.拖泥帶水、泥土、泥濘、泥\n娃娃、爛醉如泥、棗泥\n2.泥古不化、拘泥,ㄋ丨ˇ併讀為ㄋ丨ˊ。
641,波,ㄅㄛ,波濤、波紋、奔波,ㄆㄛ併讀為ㄅㄛ。
642,法,1.ㄈㄚˇ\n2.ㄈㄚˊ（限讀）,1.法律、法國、效法\n2.法子,ㄈㄚ併讀為ㄈㄚˇ。
643,沸,ㄈㄟˋ,沸點、沸騰、煮沸,
644,泄,1.ㄒ丨ㄝˋ\n2.丨ˋ,1.發泄、泄漏\n2.泄沓、泄泄,
645,沮,1.ㄐㄩ\n2.ㄐㄩˇ\n3.ㄐㄩˋ,1.沮水（河川名）\n2.沮駭、沮壞、沮喪\n3.沮洳（ㄖㄨˋ）、沮澤,
646,沿,丨ㄢˊ,沿途、沿岸、沿用,
647,治,ㄓˋ,統治、治家、治水、醫治,
648,泡,1.ㄆㄠ\n2.ㄆㄠˋ,1.泡泡袖、一泡尿、眼泡兒\n2.泡泡糖、泡沫、泡茶、水泡,
649,泛,ㄈㄢˋ,泛泛之交、泛舟、空泛,
650,泊,ㄅㄛˊ,淡泊、停泊、湖泊,ㄆㄛˋ併讀為ㄅㄛˊ。
651,沬,1.ㄇㄟˋ\n2.ㄏㄨㄟˋ,1.「豐其沛，日中見沬。」（\n《易經》）；古地名。\n2.沬血、洿沬,
