,流水號,國字,審定音,詞例,限讀說明,通假說明,備注
12,*1889,炎,｜ㄢˊ,,,,
13,1890,炷,ㄓㄨˋ,,,,
14,*1891,炤,ㄓㄠˋ,,,,
15,1892,炮,1.ㄆㄠˊ\n2.ㄆㄠˋ\n3.ㄅㄠ,1.炮烙、炮煉\n2.槍炮、炮\n竹、炮彈\n3.炮羊肉、炮\n羊肚兒,,,
16,1893,炸,,1.炸彈、轟炸\n2.炸丸子、油\n炸、炸醬麵,,,
0,1894,為,1.ㄨㄟˊ\n2.ㄨㄟˋ,1.行為、為\n政、天下為\n公、為非作\n歹\n2.為什麼、為\n民服務,,,
1,1895,烜,ㄒㄩㄢˇ,,,,
2,1896,烓,ㄨㄟ,,,,
3,1897,烘,ㄏㄨㄥ,,,,
4,1898,烙,1.ㄌㄨㄛˋ\n讀\n2.ㄌㄠˋ\n語,1.炮烙\n2.烙餅、烙印,,,
5,*1899,烝,ㄓㄥ,,,,
6,*1900,烋,ㄒ｜ㄠ,,,,
7,*1901,烏,ㄨ,,,,
8,1902,焌,ㄐㄩㄣˋ,,,,
9,*1903,焉,｜ㄢ,,,,
10,1904,焞,ㄔㄨㄣˊ,,,,
11,1905,焜,ㄎㄨㄣ,,,,
12,1906,焰,｜ㄢˋ,,,,
13,1907,焚,ㄈㄣˊ,,,,
14,1908,無,1.ㄨˊ\n2.ㄇㄛˊ\n(限讀),1.無理、無\n論、無名\n火、無病呻\n吟,2.限於佛經\n「南無」一\n詞音ㄇㄛ\nˊ。,,
15,*1909,焦,ㄐ｜ㄠ,,,,
16,1910,焱,｜ㄢˋ,,,,
17,*1911,煇,ㄏㄨㄟ,,,,
18,*1912,煒,ㄨㄟˇ,,,,
19,*1913,煙,│ㄢ,,,,
20,1914,煠,ㄓㄚˊ,,,,
0,1915,煬,│ㄤˊ,,,,
1,1916,煆,ㄒ│ㄚˋ,,,,
2,1917,煌,ㄏㄨㄤˊ,,,,
3,1918,煖,ㄋㄨㄢˇ,,,,
4,1919,煔,ㄕㄢˋ,,,,
5,1920,煎,ㄐ│ㄢ,,,,
6,1921,煦,ㄒㄩˇ,,,,
7,1933,煞,1.ㄕㄚˋ\n2.ㄕㄚ,1.凶煞、煞費\n苦心、煞\n氣、煞有介\n事\n2.煞車、煞尾,,,
8,1923,煽,ㄕㄢ,,,,
9,1924,熐,ㄇ｜ㄥˊ,,,,
10,1925,熇,ㄏㄜˋ,,,,
11,1926,熉,ㄩㄣˊ,,,,
12,1927,熅,ㄩㄣˋ,,,,
13,1928,熏,ㄒㄩㄣ,,,,
14,*1929,熯,ㄏㄢˋ,,,,
15,1930,熠,｜ˋ,,,,
16,1931,熨,1.ㄩㄣˋ\n2.ㄩˋ\n(限讀),1.熨斗,2.限於「熨\n貼」一詞音\nㄩˋ。,,
17,1932,熟,ㄕㄡˊ,,,,ㄕㄨˊ\n（讀）、ㄕㄡ\nˊ（語）二音\n今皆通用，義\n亦無別，權取\n語音。
18,1933,熬,ㄠˊ,,,,
0,1934,燉,1.ㄉㄨㄣˋ\n2.ㄉㄨㄣ\n(限讀),1.燉雞、燉酒,2.限於「燉\n煌」一詞音\nㄉㄨㄣ。,,
1,1935,燐,ㄌ｜ㄣˊ,,,,
2,1936,燖,ㄒㄩㄣˊ,,,,
3,*1937,燒,ㄕㄠ,,,,
4,1938,燂,ㄑ｜ㄢˊ,,,,
5,1939,熿,ㄏㄨㄤˊ,,,,
6,1940,燎,ㄌ｜ㄠˊ,,,,
7,1941,燜,ㄇㄣˋ,,,,
8,1942,燀,1.ㄔㄢˇ\n2.ㄉㄢˇ,1.燀赫、「火\n災燀。」\n（國語‧周\n語下）\n2.燀熱,,,
9,1943,燁,｜ㄝˋ,,,,
10,*1944,燋,ㄐ｜ㄠ,,,,
11,1945,燕,1.｜ㄢˋ\n2.｜ㄢ,1.燕子、燕\n窩、燕尾服\n2.燕京、燕\n國、北燕,,,
12,1946,燄,｜ㄢˋ,,,,
13,1947,燥,1.ㄗㄠˋ\n2.ㄙㄠˋ,1.乾燥、燥熱\n2.燥子豆\n腐、肉燥,,,
14,1948,燠,ㄩˋ,,,,
15,1949,爁,ㄌㄢˋ,,,,
16,1950,燾,ㄊㄠˊ,,,,
17,1951,燿,｜ㄠˋ,,,,
18,1952,爌,ㄎㄨㄤˋ,「曠，空明\n也。……爌，\n上同。」（廣\n韻）,,通「晃」時，\n音ㄏㄨㄤˇ。,
0,1953,爆,ㄅㄠˋ,,,,
1,1954,爇,ㄖㄜˋ,,,,
2,*1955,爓,｜ㄢˋ,,,,
3,1956,爚,ㄩㄝˋ,,,,
4,1957,爞,ㄔㄨㄥˊ,,,,
5,1958,爪,1.ㄓㄠˇ\n讀\n2.ㄓㄨㄚˇ\n語,1.爪痕、雞\n爪、爪牙\n2.爪子、三爪\n鍋,,,凡「爪」加詞\n綴「子」時，\n「爪」一律讀\nㄓㄨㄚˇ。
6,*1959,爭,ㄓㄥ,,,,
7,1960,爵,ㄐㄩㄝˊ,爵位、爵士舞,,通「雀」時，\n音ㄑㄩㄝˋ。,
8,1961,父,1.ㄈㄨˋ\n2.ㄈㄨˇ,1.父親、伯父\n2.仲父、漁父,,,
9,1962,爹,ㄉ｜ㄝ,,,,
10,1963,爻,｜ㄠˊ,,,,
11,1964,爿,1.ㄑ｜ㄤˊ\n2.ㄅㄢˋ,1.部首字\n2.一爿、竹\n爿、瓦爿,,,
12,1965,片,ㄆ｜ㄢˋ,,,,
13,1966,牏,ㄊㄡˊ,,,,
14,*1967,牚,ㄔㄥ,,,,
15,1968,牟,1.ㄇㄡˊ\n2.ㄇㄨˋ\n(限讀),1.牟利、釋迦\n牟尼、姓（如\n當代中國哲\n學家牟宗\n三）,2.限於「牟平\n縣」（山東\n省縣名）一\n詞音ㄇㄨ\nˋ。,,
16,1969,牡,ㄇㄨˇ,,,,
17,1970,牠,ㄊㄚ,,,,
18,*1971,牽,ㄑ｜ㄢ,,,,
19,1972,犁,ㄌ｜ˊ,,,,
20,*1973,犆,ㄓˊ,,,,
0,*1974,犄,ㄐ｜,,,,
1,1975,犍,1.ㄐ｜ㄢ\n2.ㄑ｜ㄢˊ\n(限讀),1.「買得烏犍\n遇歲穰。」\n（宋‧陸\n游‧詠稻飯\n詩）,2.限於「犍\n為」（四川\n省縣名）一\n詞音ㄑ｜ㄢ\nˊ。,,
2,1976,犕,ㄅㄟˋ,「犕，牛八歲\n也。」（玉篇）,,通「服」時，\n音ㄈㄨˊ。,
3,1977,犛,ㄌ｜ˊ,,,,
4,1978,犦,ㄅㄠˋ,,,,
5,1979,犧,ㄒ｜,,,,
6,1980,犴,ㄢˋ,,,,
7,1981,犿,ㄏㄨㄢ,,,,
8,1982,狋,｜ˊ,,,,
9,1983,狔,ㄋ｜ˇ,,,,
10,1984,狚,ㄉㄢˋ,,,,
11,1985,狙,ㄐㄩ,,,,
12,1986,狌,ㄕㄥ,,,,
13,1987,狊,ㄐㄩˋ,,,,
14,1988,狩,ㄕㄡˋ,,,,
15,*1989,狠,ㄏㄣˇ,,,,
16,1990,狪,ㄊㄨㄥˊ,,,,
17,1991,狼,ㄌㄤˊ,,,,
18,1992,狴,ㄅ｜ˋ,,,,
19,1993,狶,ㄒ｜,,,,
20,1994,猗,1.｜\n2.｜ˇ\n3.ㄜˇ\n(限讀),1.「猗嗟昌\n兮。」（詩\n經‧齊風‧\n猗嗟）\n2.「猗于畝\n丘。」（詩\n經‧小雅‧\n巷伯）,3.限於「猗\n儺」一詞音\nㄜˇ。,,
0,1995,猇,ㄒ｜ㄠ,,,,
1,*1996,猒,｜ㄢˋ,,,,
2,1997,猵,ㄅ｜ㄢ,,,,
3,*1998,猶,｜ㄡˊ,,,,
4,*1999,猱,ㄋㄠˊ,,,,
5,2000,猩,ㄒ｜ㄥ,,,,
6,2001,猲,1.ㄒ｜ㄝ\n2.ㄏㄜˋ,1.猲獢\n2.「恫疑虛\n猲。」（戰\n國策‧齊策\n一）,,,
7,2002,猰,｜ㄚˋ,,,,
8,2003,猼,ㄅㄛˊ,,,,
9,2004,獂,ㄩㄢˊ,,,,
10,2005,獃,ㄉㄞ,,,,
11,2006,獌,ㄇㄢˋ,,,,
12,*2007,獟,｜ㄠˋ,,,,
13,2008,獠,ㄌ｜ㄠˊ,,,,
14,*2009,獦,ㄍㄜˊ,,,,
15,2010,獥,ㄐ｜ㄠˋ,,,,
16,2011,獪,ㄎㄨㄞˋ,,,,
17,2012,獳,1.ㄋㄡˋ\n2.ㄖㄨˊ\n(限讀),1.「獳，怒犬\n貌。」（說\n文）,2.限於「朱\n獳」一詞音\nㄖㄨˊ。,,
18,2013,獲,ㄏㄨㄛˋ,,,,
19,2014,獷,ㄍㄨㄤˇ,,,,
20,2015,獶,ㄋㄠˊ,,,,
21,2016,獺,ㄊㄚˋ,,,,
22,*2017,獻,ㄒ｜ㄢˋ,,,,
23,*2018,獿,ㄋㄠˊ,,,,
0,2019,玆,1.ㄒㄩㄢˊ\n2.ㄗ,1.「玆，黑\n也，二\n玄。」（說\n文）、玆白\n2.「茲」的異\n體字,,,
1,2020,率,1.ㄕㄨㄞˋ\n2.ㄌㄩˋ,1.表率、率\n領、率由舊\n章、草率、\n坦率、率同\n2.速率、或然\n率、「刻燭\n為詩，四韻\n則刻一寸，\n以此為率。」\n（梁書‧王\n僧孺傳）,,,
2,2021,王,1.ㄨㄤˊ\n2.ㄨㄤˋ,1.國王、王\n法、拳王\n2.王天下,,,文言動詞音\nㄨㄤˋ。
3,*2022,玉,ㄩˋ,,,,
4,2023,玎,ㄉ｜ㄥ,,,,
5,2024,玟,ㄨㄣˊ,,,,
6,2025,玩,ㄨㄢˊ,,,,
7,2026,玭,ㄆ｜ㄣˊ,,,,
8,2027,玢,ㄅ｜ㄣ,,,,
9,*2028,玷,ㄉ｜ㄢˋ,,,,
10,2029,珥,ㄦˇ,,,,
11,*2030,玼,ㄘˇ,,,,
12,*2031,琅,ㄌㄤˊ,,,,
13,2032,珶,ㄉ｜ˋ,,,,
14,2033,琄,ㄒㄩㄢˋ,,,,
15,2034,珵,ㄔㄥˊ,,,,
0,2035,琁,ㄒㄩㄢˊ,,,,
1,2036,琇,ㄒ｜ㄡˋ,,,,
2,2037,琀,ㄏㄢˋ,,,,
3,2038,琮,ㄘㄨㄥˊ,,,,
4,*2039,琯,ㄍㄨㄢˇ,,,,
5,2040,琛,ㄔㄣ,,,,
6,2041,瑊,ㄓㄣ,,,,
7,2042,瑒,1.ㄔㄤˋ\n2.｜ㄤˊ\n(限讀),1.瑒圭,2.限於「應\n瑒」（人\n名。三國時\n魏人，建安\n七子之一）\n一詞音｜ㄤ\nˊ。,,
8,2043,瑁,ㄇㄟˋ,,,,
9,2044,瑯,ㄌㄤˊ,,,,
10,2045,瑳,ㄘㄨㄛ,,,,
11,2046,瑱,ㄊ｜ㄢˋ,,,,
12,*2047,瑲,ㄑ｜ㄤ,,,,
13,2048,瑩,｜ㄥˊ,,,,
14,2049,璉,ㄌ｜ㄢˊ,,,,
15,2050,瑾,ㄐ｜ㄣˇ,,,,
16,2051,璁,ㄘㄨㄥ,,,,
17,*2052,璅,ㄙㄨㄛˇ,,,,
18,2053,璘,ㄌ｜ㄣˊ,,,,
19,2054,璚,ㄐㄩㄝˊ,「璚，玉佩\n也。」（說文）,,通「瓊」時，\n音ㄑㄩㄥˊ。,
20,2055,璟,ㄐ｜ㄥˇ,,,,
21,*2056,璸,ㄅ｜ㄣ,,,,
22,2057,瓀,ㄖㄨㄢˇ,,,,
23,*2058,瓟,ㄆㄠˊ,,,,
24,2059,瓠,ㄏㄨˋ,,,,
0,2060,瓦,ㄨㄚˇ,,,,
1,2061,瓽,ㄉㄤˋ,,,,
2,2062,瓿,ㄆㄡˇ,,,,
3,2063,甀,ㄓㄨㄟˋ,,,,
4,*2064,甄,ㄓㄣ,,,,
5,2065,甈,ㄑ｜ˋ,,,,
6,2066,甔,ㄉㄢ,,,,
7,2067,甗,｜ㄢˇ,,,,
8,2068,甚,1.ㄕㄣˋ\n2.ㄕㄣˊ,1.甚好、甚\n至、欺人太\n甚\n2.甚麼、作\n甚、甚處,,,
9,2069,生,ㄕㄥ,,,,
10,*2070,甫,ㄈㄨˇ,,,,
11,2071,甯,ㄋ｜ㄥˋ,甯邑、姓（如\n春秋時韓國\n有甯戚）,,通「寧」時，\n音ㄋ｜ㄥˊ。,
12,2072,田,ㄊ｜ㄢˊ,田園、田徑、\n「以田以\n漁。」（易\n經‧繫辭\n下）、「令民\n得田之。」\n（漢書‧高帝\n紀）、姓（如\n戰國時魏國\n有田子方）,,通「佃」時，\n音ㄉ｜ㄢˋ。,
13,2073,甲,ㄐ｜ㄚˇ,,,,
0,2074,町,1.ㄊ｜ㄥˇ\n2.ㄉ｜ㄥ,1.町畦、「町\n畽鹿場。」\n（詩經‧豳\n風‧東山）\n2.西門町、東\n門町,,,町，音ㄉ｜ㄥ\n時，特指臺北\n區名的俗稱。
1,*2075,甸,ㄉ｜ㄢˋ,,,,
2,2076,甿,ㄇㄥˊ,,,,
3,*2077,甽,ㄑㄩㄢˇ,,,,
4,2078,畎,ㄑㄩㄢˇ,,,,
5,2079,畇,ㄩㄣˊ,,,,
6,2080,畋,ㄊ｜ㄢˊ,,,,
7,2081,畝,ㄇㄨˇ,,,,
8,2082,畛,ㄓㄣˇ,,,,
9,2083,畜,1.ㄔㄨˋ\n2.ㄒㄩˋ,1.畜生、家畜\n2.畜產、畜\n養、畜牧,,,
10,*2084,畤,ㄓˋ,,,,
11,2085,畦,ㄑ｜ˊ,,,,
12,2086,番,1.ㄈㄢ\n2.ㄆㄢ,1.紅番、番\n邦、三番兩\n次、更番、\n番薯、番茄\n2.番禺（地\n名）,,,
13,2087,畬,1.ㄩˊ\n2.ㄕㄜ,1.「不耕穫，\n不菑畬，則\n利有攸往。」\n（易經‧\n妄卦）\n2.畬民、燒畬,,,
0,2088,當,1.ㄉㄤ\n2.ㄉㄤˋ,1.當權、當\n選、當時、\n安步當車、\n當機立斷、\n當作（應當\n作）、當年、\n當日\n2.當鋪、勾\n當、當年、\n當日、當作\n（視為、認\n為是）,,通「擋」時，\n音ㄉㄤˇ。,音ㄉㄤˋ的\n「當年」、「當\n日」為同一\n年、同一日的\n意思；與音\nㄉㄤ的「當\n年」、「當日」\n意思不同。
1,2089,畿,ㄐ｜,,,,
2,*2090,疆,ㄐ｜ㄤ,,,,
3,2091,疊,ㄉ｜ㄝˊ,,,,
4,2092,疋,ㄕㄨ,「疋，足也。」\n（廣韻）,,通「布匹」之\n「匹」時，音\nㄆ｜ˇ。通\n「雅」時，音\n｜ㄚˇ。,
5,2093,疏,ㄕㄨ,,,,
6,*2094,疐,ㄓˋ,,,,
7,2095,疕,ㄅ｜ˇ,,,,
8,2096,疝,ㄕㄢˋ,,,,
9,2097,疙,ㄍㄜ,,,,
10,2098,疽,ㄐㄩ,,,,
11,2099,疸,ㄉㄢˇ,,,,
12,2100,痁,ㄉ｜ㄢˋ,,,,
13,2101,疼,ㄊㄥˊ,,,,
14,*2102,疹,ㄓㄣˇ,,,,
15,2103,痎,ㄐ｜ㄝ,,,,
16,2104,痒,｜ㄤˇ,,,,
17,2105,疵,ㄘ,,,,
0,2106,痑,ㄊㄨㄛ,,,,
1,2107,痡,ㄆㄨ,,,,
2,2108,痞,ㄆ｜ˇ,,,,
3,2109,痗,ㄇㄟˋ,,,,
4,2110,痯,ㄍㄨㄢˇ,,,,
5,2111,瘀,ㄩ,,,,
6,2112,痾,ㄜ,,,,
7,2113,痶,ㄉ｜ㄢˇ,,,,
8,2114,痴,ㄔ,,,,
9,2115,痱,ㄈㄟˋ,,,,
10,2116,痿,ㄨㄟˇ,,,,
11,2117,痺,1.ㄅ｜ˋ\n2.ㄅㄟ,1.麻痺\n2.「鷯鶉，其\n雄鶛，牝\n痺。」（爾\n雅‧釋鳥）,,,
12,2118,痳,ㄌ｜ㄣˊ,,,,
13,2119,瘌,ㄌㄚˋ,,,,
14,2120,瘕,ㄐ｜ㄚˇ,,,,
15,2121,瘑,ㄍㄨㄛ,,,,
16,2122,瘧,ㄋㄩㄝˋ,,,,
17,2123,瘉,ㄩˋ,,,,
18,2124,瘈,1.ㄐ｜ˋ\n2.ㄑ｜ˋ,1.「瘈，狂\n也。」（集\n韻）\n2.瘈瘲,,,
19,2125,瘥,ㄔㄞˋ,,,,
20,*2126,瘠,ㄐ｜ˊ,,,,
21,2127,瘙,ㄙㄠ,,,,
22,*2128,瘣,ㄏㄨㄟˋ,,,,
23,2129,,ㄌㄡˋ,,,,
24,2130,癆,ㄌㄠˊ,,,,
0,2131,療,ㄌ｜ㄠˊ,,,,
1,2132,癉,1.ㄉㄢˋ\n2.ㄉㄢ,1.癉暑、「彰\n善癉惡。」\n（書經‧畢\n命）\n2.火癉,,,
2,2133,癌,ㄞˊ,,,,
3,2134,癤,ㄐ｜ㄝˊ,,,,
4,*2135,癐,ㄨㄟ,,,,
5,2136,癠,ㄐ｜ˋ,,,,
6,2137,癟,ㄅ｜ㄝˇ,,,,
7,*2138,癩,ㄌㄞˋ,,,,
8,2139,癬,ㄒ｜ㄢˇ,,,,
9,2140,癹,ㄅㄚˊ,,,,
10,2141,發,ㄈㄚ,,,,
11,*2142,登,ㄉㄥ,,,,
12,2143,白,ㄅㄞˊ,,,,
13,2144,百,1.ㄅㄞˇ\n2.ㄅㄛˊ\n(限讀),1.百分數、百\n貨、百感交\n集、百無禁\n忌、百家姓,2.限於「百\n色」一詞音\nㄅㄛˊ。,,
14,2145,,ㄒ｜ㄤ,,,,
15,2146,的,1.ㄉ｜ˋ\n2.ㄉ｜ˊ\n3.‧ㄉㄜ,1.目的、標的\n2.的確\n3.美麗的、慢\n慢的,,,
16,*2147,皇,ㄏㄨㄤˊ,,,,
17,*2148,皋,ㄍㄠ,,,,
18,2149,皖,ㄨㄢˇ,,,,
19,*2150,皛,ㄒ｜ㄠˋ,,,,
20,2151,皭,ㄐ｜ㄠˋ,,,,
21,2152,皯,ㄍㄢˇ,,,,
0,2153,皵,ㄑㄩㄝˋ,,,,
1,*2154,皽,ㄓㄢˇ,,,,
2,2155,皿,ㄇ｜ㄣˇ,,,,
3,*2156,盅,ㄓㄨㄥ,,,,
4,2157,益,｜ˋ,,,,
5,2158,盉,ㄏㄜˊ,,,,
6,2159,盓,ㄨ,,,,
7,2160,盛,1.ㄕㄥˋ\n2.ㄔㄥˊ,1.盛情難\n卻、盛氣凌\n人、興盛、\n盛會、姓（如\n清代有盛宣\n懷）\n2.盛飯、粢\n盛、盛湯,,,
8,2161,盟,ㄇㄥˊ,海誓山盟、結\n盟、盟邦,,通「孟津」之\n「孟」時，音\nㄇㄥˋ。,
9,*2162,盡,ㄐ｜ㄣˋ,,,,
10,2163,監,1.ㄐ｜ㄢ\n2.ㄐ｜ㄢˋ,1.監獄、監\n督、監視、\n監察院\n2.太監、國子\n監、祕書監,,,
11,2164,盥,ㄍㄨㄢˋ,,,,
12,2165,盪,ㄉㄤˋ,,,,
13,2166,盯,1.ㄉ｜ㄥ\n2.ㄔㄥ,1.盯梢、緊盯\n人迫\n2.盯,,,
14,*2167,盲,ㄇㄤˊ,,,,
15,*2168,眈,ㄉㄢ,,,,
16,*2169,眃,ㄩㄣˊ,,,,
17,2170,眄,ㄇ｜ㄢˇ,,,,
0,2171,眇,ㄇ｜ㄠˇ,眇小、「眇能\n視，跛能履。」\n（易經‧履\n卦）,,通「妙」時，\n音ㄇ｜ㄠˋ。,
1,2172,盷,ㄒㄩㄢˊ,,,,
2,*2173,眊,ㄇㄠˋ,,,,
3,2174,盹,ㄉㄨㄣˇ,,,,
4,2175,盻,ㄒ｜ˋ,,,,
5,2176,省,1.ㄕㄥˇ\n2.ㄒ｜ㄥˇ,1.省分、節\n省、中書省\n2.反省、省\n親、省悟、\n省視,,,
6,2177,看,1.ㄎㄢˋ\n2.ㄎㄢ,1.看見、看\n病、試試\n看、看板\n2.看門、看\n守、看護、\n看押,,,凡有「守」\n義，皆音ㄎ\nㄢ。
7,2178,盾,ㄉㄨㄣˋ,,,,
8,2179,相,1.ㄒ｜ㄤ\n2.ㄒ｜ㄤˋ,1.相像、相親\n相愛、互相\n2.福相、吃\n相、丞相、\n相親,,,
9,*2180,眩,ㄒㄩㄢˋ,,,,
10,2181,眠,ㄇ｜ㄢˊ,冬眠、眠思夢\n想、「幽人應\n未眠。」\n（唐‧韋應\n物‧寄丘員外\n詩）,,通「瞑眩」之\n「瞑」時，音\nㄇ｜ㄢˋ。,
11,2182,眒,ㄕㄣ,,,,
0,2183,眙,1.ㄔˋ\n2.｜ˊ\n(限讀),1.「目眙不\n禁。」（史\n記‧滑稽傳‧\n淳于髡傳）,2.限於「盱\n眙」（地名）\n一詞音｜\nˊ。,,
1,2184,眑,｜ㄠˇ,,,,
2,2185,眢,ㄩㄢ,,,,
3,2186,眯,1.ㄇ｜ˇ\n2.ㄇ｜,1.「砂子眯了\n眼。」\n2.眯瞝,,,
4,2187,眶,ㄎㄨㄤ,,,,
5,2188,眱,｜ˊ,,,,
6,*2189,眼,｜ㄢˇ,,,,
7,*2190,眭,ㄙㄨㄟ,,,,
8,2191,眲,ㄋㄜˋ,,,,
9,2192,眳,ㄇ｜ㄥˊ,,,,
10,*2193,眴,ㄒㄩㄢˋ,,,,
11,2194,眽,ㄇㄛˋ,,,,
12,2195,眥,ㄗˋ,,,,
13,*2196,眾,ㄓㄨㄥˋ,,,,
14,2197,睇,ㄉ｜ˋ,,,,
15,*2198,睕,ㄨㄢˇ,,,,
16,2199,睚,｜ㄞˊ,,,,
17,*2200,睢,ㄙㄨㄟ,,,,
18,2201,睪,1.｜ˋ\n2.ㄍㄠ,1.「睪，司視\n也。」（說\n文）\n2.「睾」的異\n體字,,,
19,2202,睽,ㄎㄨㄟˊ,,,,
20,2203,睼,ㄊ｜ˊ,,,,
21,2204,瞀,ㄇㄠˋ,,,,
22,*2205,睾,ㄍㄠ,,,,
0,2206,瞑,1.ㄇ｜ㄥˊ\n2.ㄇ｜ㄢˋ,1.瞑目\n2.瞑眩,,通「眠」時，\n音ㄇ｜ㄢˊ。,
1,2207,瞇,ㄇ｜,,,,
2,2208,瞍,ㄙㄡˇ,,,,
3,*2209,瞏,ㄑㄩㄥˊ,,,,
4,2210,瞟,ㄆ｜ㄠˇ,,,,
5,*2211,瞞,ㄇㄢˊ,,,,
6,2212,瞜,ㄌㄡ,,,,
7,2213,瞢,ㄇㄥˊ,昏瞢、瞢昧,,通「夢」時，\n音ㄇㄥˋ。,
8,2214,瞵,ㄌ｜ㄣˊ,,,,
9,2215,瞪,ㄉㄥˋ,,,,
10,*2216,瞫,ㄕㄣˇ,,,,
11,2217,瞭,1.ㄌ｜ㄠˇ\n2.ㄌ｜ㄠˋ\n(限讀),1.瞭亮、瞭\n然、瞭如指\n掌,2.限於「瞭\n望」一詞音\nㄌ｜ㄠˋ。,,
12,2218,瞶,ㄍㄨㄟˋ,,,,
13,2219,瞿,1.ㄑㄩˊ\n2.ㄐㄩˋ,1.瞿塘峽、姓\n（如明代有\n瞿佑）\n2.瞿然,,,
14,2220,矉,ㄆ｜ㄣˊ,,,,
15,2221,矇,1.ㄇㄥˊ\n2.ㄇㄥ,1.矇矓、矇叟\n2.矇騙、矇矇\n亮,,,
16,2222,矌,ㄎㄨㄤˋ,,,,
17,2223,矎,ㄒㄩㄢ,,,,
18,2224,矐,ㄏㄨㄛˋ,,,,
19,*2225,矔,ㄍㄨㄢˋ,,,,
20,2226,矕,ㄇㄢˇ,,,,
0,2227,矜,ㄐ｜ㄣ,驕矜、「居以\n凶矜。」（詩\n經‧小雅‧苑\n柳）、「君子\n矜而不爭。」\n（論語‧衛靈\n公）,,通「鰥」、「瘝」\n時，音\nㄍㄨㄢ。,
1,2228,矞,ㄩˋ,矞皇、矞雲,,通「譎」時，\n音ㄐㄩㄝˊ。,
2,2229,矠,1.ㄘㄜˋ\n2.ㄗㄜˊ,1.「矠，矛\n屬。」（說\n文）\n2.「獸虞於是\n乎禁罝羅，\n矠魚鱉以為\n夏犒，助生\n阜也。」（國\n語‧魯語上）,,,
3,2230,知,ㄓ,求知、知識、\n知府、知道,,通「智」時，\n音ㄓˋ。,
4,2231,矱,ㄏㄨㄛˋ,,,,
5,2232,石,1.ㄕˊ\n2.ㄉㄢˋ,1.石頭、藥石\n2.「三十斤為\n鈞，四鈞為\n石。」（漢\n書‧律曆志\n上）,,,
6,2233,矸,ㄍㄢ,,,,
7,2234,矼,1.ㄑ｜ㄤ\n2.ㄐ｜ㄤ,1.「德厚信\n矼。」（莊\n子‧人間世）\n2.「矼，堅實\n貌。」（集\n韻）、石矼,,,
8,2235,矻,ㄎㄨˋ,,,,
0,2236,矺,ㄊㄨㄛ,,,,
1,2237,砌,1.ㄑ｜ˋ\n2.ㄑ｜ㄝˋ\n(限讀),1.堆砌、砌\n牆、「雕闌\n玉砌應猶\n在。」（南\n唐‧李煜‧\n虞美人詞）,2.限於「砌\n末」一詞音\nㄑ｜ㄝˋ。,,
2,2238,砏,ㄅ｜ㄣ,,,,
3,2239,砎,ㄐ｜ㄝˋ,,,,
4,2240,砉,ㄏㄨㄛˋ,,,,
5,2241,研,｜ㄢˊ,研究、研討、\n研判、研擬,,通「硯」時，\n音｜ㄢˋ。,
6,2242,砫,ㄓㄨˋ,,,,
7,2243,砰,ㄆㄥ,,,,
8,2244,砢,ㄌㄨㄛˇ,,,,
9,2245,砝,ㄈㄚˇ,,,,ㄈㄚˊ為變\n調音，併入\nㄈㄚˇ。
10,2246,砠,ㄐㄩ,,,,
11,2247,砭,ㄅ｜ㄢ,,,,
12,2248,砟,ㄓㄚˋ,,,,
13,2249,砥,ㄉ｜ˇ,,,,
14,2250,砮,ㄋㄨˇ,,,,
15,*2251,硎,ㄒ｜ㄥˊ,,,,
16,2252,硍,ㄎㄥ,,,,
17,*2253,硊,ㄨㄟˇ,,,,
0,2254,硌,1.ㄍㄜˋ\n2.ㄌㄨㄛˋ,1.硌吱、硌\n登、咯牙、\n「鞋裡有顆\n小石頭硌得\n腳好疼！」\n2.「上無草\n木，而多硌\n石。」（山\n海經‧南山\n經）,,,
1,2255,硠,ㄌㄤˊ,,,,
2,*2256,硜,ㄎㄥ,,,,
3,*2257,硝,ㄒ｜ㄠ,,,,
4,2258,硪,ㄜˊ,,,,
5,2259,确,ㄑㄩㄝˋ,,,,
6,2260,硰,ㄕㄚ,,,,
7,2261,硩,ㄔㄜˋ,,,,
8,2262,碕,ㄑ｜ˊ,,,,
9,2263,硼,ㄆㄥˊ,,,,
10,*2264,碌,ㄌㄨˋ,,,,
11,2265,碓,ㄉㄨㄟˋ,碓房、碓舂碓\n投、碓顙、,,通「堆」時，\n音ㄉㄨㄟ。,
12,2266,碆,ㄅㄛ,,,,
13,2267,碪,ㄓㄣ,,,,
14,*2268,碟,ㄉ｜ㄝˊ,,,,
15,2269,碩,ㄕㄨㄛˋ,,,,
16,*2270,碭,ㄉㄤˋ,,,,
17,*2271,碣,ㄐ｜ㄝˊ,,,,
18,2272,碨,ㄨㄟ,,,,
0,2273,硾,ㄓㄨㄟˋ,「是拯溺而\n硾之以石\n也，是救病而\n飲之以堇\n也。」（呂氏\n春秋‧孟夏\n紀‧勸學）,,通「捶」時，\n音ㄔㄨㄟˊ。,
1,2274,磍,ㄐ｜ㄚˊ,,,,
2,2275,磅,1.ㄅㄤˋ\n2.ㄆㄤ,1.磅秤、過\n磅、兩磅肉\n2.磅礡,,,
3,*2276,碻,ㄑㄩㄝˋ,,,,
4,2277,磋,ㄘㄨㄛ,,,,
5,2278,碾,ㄋ｜ㄢˇ,,,,
6,*2279,磕,ㄎㄜ,,,,
7,2280,磌,ㄊ｜ㄢˊ,,,,
