,流水號,國字,審定音,詞例,限讀說明,通假說明,備注
5,0070,伯,ㄅㄛˊ,伯父、大伯、\n伯樂（周代善\n於相馬的人）,,通「霸」時，\n音ㄅㄚˋ。,ㄅㄞˇ僅限\n於「大伯子」\n（稱丈夫的\n哥哥）一詞，\n罕用，刪之。
6,0071,余,1.ㄩˊ\n2.ㄒㄩˊ,1.余一人、姓\n（如清代有\n余廷燦）\n2.余吾（水\n名、鎮名）,,,
7,0072,來,ㄌㄞˊ,,,,
8,*0073,佼,ㄐ｜ㄠˇ,,,,
9,0074,佷,1.ㄏㄣˇ\n2.ㄏㄥˊ,1.佷戾\n2.「佷，佷\n山，縣名，\n在武陵。」\n（集韻）,,,
10,0075,使,ㄕˇ,,,,
11,0076,佬,ㄌㄠˇ,,,,
12,0077,供,1.ㄍㄨㄥ\n2.ㄍㄨㄥˋ,1.口供、供給\n2.供品、供奉,,,
13,0078,佰,ㄅㄞˇ,,,,
0,0079,侗,1.ㄊㄨㄥˊ\n2.ㄉㄨㄥˋ\n(限讀),1.倥侗、「侗\n而不愿。」\n（論語‧泰\n伯）,2.限於「侗\n族」（民族\n名）一詞音\nㄉㄨㄥˋ。,,
1,0080,佹,ㄍㄨㄟˇ,,,,
2,0081,信,ㄒ｜ㄣˋ,誠信、信用、\n信服,,通「申」、「伸」\n時，音\nㄕㄣ。,
3,0082,俍,ㄌ｜ㄤˊ,,,,
4,*0083,侻,ㄊㄨㄛˋ,,,,
5,0084,侵,ㄑ｜ㄣ,,,,
6,0085,俠,ㄒ｜ㄚˊ,,,,
7,0086,侲,ㄓㄣˋ,,,,
8,*0087,俏,ㄑ｜ㄠˋ,,,,
9,0088,俔,ㄑ｜ㄢˋ,,,,
10,0089,俜,ㄆ｜ㄥ,,,,
11,0090,便,1.ㄅ｜ㄢˋ\n2.ㄆ｜ㄢˊ,1.方便、便利\n2.便宜、便\n辟、大腹便\n便,,,
12,0091,俙,ㄒ｜,,,,
13,0092,俟,1.ㄙˋ\n2.ㄑ｜ˊ,1.俟機而\n動、姓（見\n通志氏族\n略）\n2.万俟（複\n姓）,,,
14,0093,俊,ㄐㄩㄣˋ,,,,
15,0094,俛,ㄇ｜ㄢˇ,僶俛,,通「俯」時，\n音ㄈㄨˇ。,
16,0095,俄,ㄜˊ,,,,
17,0096,俇,ㄎㄨㄤˇ,,,,
0,0097,俞,1.ㄩˊ\n2.ㄕㄨ\n(限讀),1.俞允、姓\n（如明代名\n將俞大猷）,2.限於「俞\n兒」（神名）\n一詞音ㄕ\nㄨ。,,
1,0098,倥,1.ㄎㄨㄥ\n2.ㄎㄨㄥˇ,1.倥侗\n2.倥傯,,,
2,0099,倞,ㄌ｜ㄤˋ,,,,
3,0100,倓,ㄊㄢˊ,「倓然見管\n仲之足以託\n國也。」（荀\n子‧仲尼）,,,
4,0101,們,ㄇㄣˊ,,,,
